"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 06, 2017","77.95","77.95","77.95","77.95","0.02K","0.52%"
"Jun 07, 2017","79.40","79.40","79.40","79.40","-","1.86%"
"Jun 08, 2017","81.00","81.00","81.00","81.00","0.07K","2.02%"
"Jun 09, 2017","80.80","80.80","80.80","80.80","-","-0.25%"
"Jun 12, 2017","79.80","79.80","79.80","79.80","0.10K","-1.24%"
"Jun 13, 2017","78.95","78.95","78.95","78.95","0.01K","-1.07%"
"Jun 14, 2017","77.65","77.65","77.65","77.65","0.08K","-1.65%"
"Jun 15, 2017","78.55","78.55","78.55","78.55","0.02K","1.16%"
"Jun 16, 2017","78.30","78.30","78.30","78.30","0.05K","-0.32%"
"Jun 19, 2017","78.65","78.65","78.65","78.65","0.02K","0.45%"
"Jun 20, 2017","78.15","78.15","78.15","78.15","0.01K","-0.64%"
"Jun 21, 2017","78.20","78.20","78.20","78.20","-","0.06%"
"Jun 22, 2017","77.80","77.80","77.80","77.80","-","-0.51%"
"Jun 23, 2017","77.75","77.75","77.75","77.75","-","-0.06%"
"Jun 26, 2017","77.80","77.80","77.80","77.80","-","0.06%"
"Jun 27, 2017","77.70","77.70","77.70","77.70","-","-0.13%"
"Jun 28, 2017","77.80","77.80","77.80","77.80","-","0.13%"
"Jun 29, 2017","77.70","77.70","77.70","77.70","-","-0.13%"
"Jun 30, 2017","77.60","77.60","77.60","77.60","-","-0.13%"
"Jul 03, 2017","78.15","78.15","78.15","78.15","0.03K","0.71%"
"Jul 05, 2017","82.50","82.50","82.50","82.50","0.04K","5.57%"
"Jul 06, 2017","84.35","84.35","84.35","84.35","0.03K","2.24%"
"Jul 07, 2017","84.05","84.05","84.05","84.05","0.02K","-0.36%"
"Jul 10, 2017","83.85","83.85","83.85","83.85","0.02K","-0.24%"
"Jul 11, 2017","83.40","83.40","83.40","83.40","0.03K","-0.54%"
"Jul 12, 2017","82.75","82.75","82.75","82.75","-","-0.78%"
"Jul 13, 2017","81.50","81.50","81.50","81.50","-","-1.51%"
"Jul 14, 2017","81.75","81.75","81.75","81.75","-","0.31%"
"Jul 17, 2017","81.75","81.75","81.75","81.75","-","0.00%"
"Jul 18, 2017","82.40","82.40","82.40","82.40","-","0.80%"
"Jul 19, 2017","82.55","82.55","82.55","82.55","0.02K","0.18%"
"Jul 20, 2017","82.70","82.70","82.70","82.70","0.02K","0.18%"
"Jul 21, 2017","82.70","82.70","82.70","82.70","-","0.00%"
"Jul 24, 2017","82.25","82.25","82.25","82.25","0.01K","-0.54%"
"Jul 25, 2017","82.20","82.20","82.20","82.20","0.01K","-0.06%"
"Jul 26, 2017","82.05","82.05","82.05","82.05","-","-0.18%"
"Jul 27, 2017","82.05","82.05","82.05","82.05","-","0.00%"
"Jul 28, 2017","81.60","81.60","81.60","81.60","-","-0.55%"
"Jul 31, 2017","84.00","84.00","84.00","84.00","-","2.94%"
"Aug 01, 2017","84.75","84.75","84.75","84.75","0.01K","0.89%"
"Aug 02, 2017","85.00","85.00","85.00","85.00","0.02K","0.29%"
"Aug 03, 2017","85.25","85.25","85.25","85.25","0.02K","0.29%"
"Aug 04, 2017","86.65","86.65","86.65","86.65","-","1.64%"
"Aug 07, 2017","86.25","86.25","86.25","86.25","0.04K","-0.46%"
"Aug 08, 2017","85.20","85.20","85.20","85.20","-","-1.22%"
